"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","152","returns 404 for an unknown card","functional","2026-08-31","passed","2026-08-31","Cards endpoint > GET /cards/{id}","functional/cards.spec.ts","",""
"","129","rejects a request with no idList","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","139","rejects an empty name","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","1229","creates a list on the given board","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","117","rejects a request carrying an invalid key","functional","2026-08-31","passed","2026-08-31","API connectivity and authentication","functional/connectivity.spec.ts","",""
"","135","returns 404 for an unknown list","functional","2026-08-31","passed","2026-08-31","Lists endpoint > GET /lists/{id}","functional/lists.spec.ts","",""
"","3141","GET /members/me stays within the 1000ms read budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","1764","places a card at the top when pos is top","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","181","rejects a request carrying an invalid token","functional","2026-08-31","passed","2026-08-31","API connectivity and authentication","functional/connectivity.spec.ts","",""
"","3189","creates a board, list and card, updates the card, then removes everything","e2e","2026-08-31","passed","2026-08-31","Trello end-to-end workflow","e2e/workflow.spec.ts","",""
"","1232","rejects a request with no name","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","1589","creates a board with only the required name","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","1903","creates a card with name, description and due date","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","140","returns 404 when deleting an unknown board","functional","2026-08-31","passed","2026-08-31","Boards endpoint > DELETE /boards/{id}","functional/boards.spec.ts","",""
"","131","returns 404 when deleting an unknown card","functional","2026-08-31","passed","2026-08-31","Cards endpoint > DELETE /cards/{id}","functional/cards.spec.ts","",""
"","4897","GET /boards/{id} stays within the 1000ms read budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","9461","POST /cards stays within the 1500ms write budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","1140","rejects an unauthenticated request","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","1483","returns at least the documented default fields","functional","2026-08-31","passed","2026-08-31","Lists endpoint > GET /lists/{id}","functional/lists.spec.ts","",""
"","1401","is not supported by the Trello API","functional","2026-08-31","passed","2026-08-31","Lists endpoint > DELETE /lists/{id}","functional/lists.spec.ts","",""
"","1195","honours the optional description and defaultLists flag","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","1218","deletes a board and makes it unreachable","functional","2026-08-31","passed","2026-08-31","Boards endpoint > DELETE /boards/{id}","functional/boards.spec.ts","",""
"","124","rejects a request with no idBoard","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","246","returns 404 when updating an unknown card","functional","2026-08-31","passed","2026-08-31","Cards endpoint > PUT /cards/{id}","functional/cards.spec.ts","",""
"","1558","renames a list","functional","2026-08-31","passed","2026-08-31","Lists endpoint > PUT /lists/{id}","functional/lists.spec.ts","",""
"","1941","marks a card as complete","functional","2026-08-31","passed","2026-08-31","Cards endpoint > PUT /cards/{id}","functional/cards.spec.ts","",""
"","1751","archives and then restores a list","functional","2026-08-31","passed","2026-08-31","Lists endpoint > PUT /lists/{id}/closed","functional/lists.spec.ts","",""
"","1385","updates the name and description","functional","2026-08-31","passed","2026-08-31","Boards endpoint > PUT /boards/{id}","functional/boards.spec.ts","",""
"","145","returns 404 when updating an unknown board","functional","2026-08-31","passed","2026-08-31","Boards endpoint > PUT /boards/{id}","functional/boards.spec.ts","",""
"","3145","excludes archived lists when filtering by open","functional","2026-08-31","passed","2026-08-31","Lists endpoint > GET /boards/{id}/lists","functional/lists.spec.ts","",""
"","1652","returns the card that was created","functional","2026-08-31","passed","2026-08-31","Cards endpoint > GET /cards/{id}","functional/cards.spec.ts","",""
"","183","returns 404 for a well-formed but unknown id","functional","2026-08-31","passed","2026-08-31","Boards endpoint > GET /boards/{id}","functional/boards.spec.ts","",""
"","143","returns the authenticated member for valid credentials","functional","2026-08-31","passed","2026-08-31","API connectivity and authentication","functional/connectivity.spec.ts","",""
"","1197","creates the three default lists when defaultLists is true","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","1368","archives the board when closed is set","functional","2026-08-31","passed","2026-08-31","Boards endpoint > PUT /boards/{id}","functional/boards.spec.ts","",""
"","148","rejects a request with no name","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","1807","places a list at the top when pos is top","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","196","rejects an unknown idBoard","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","2382","moves a card to a different list on the same board","functional","2026-08-31","passed","2026-08-31","Cards endpoint > PUT /cards/{id}","functional/cards.spec.ts","",""
"","7167","PUT /cards/{id} stays within the 1500ms write budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
