"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3607","GET /boards/{id}/lists stays within the 1000ms read budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","63","returns 404 for an unknown list","functional","2026-08-31","passed","2026-08-31","Lists endpoint > GET /lists/{id}","functional/lists.spec.ts","",""
"","100","rejects a request carrying an invalid token","functional","2026-08-31","passed","2026-08-31","API connectivity and authentication","functional/connectivity.spec.ts","",""
"","1827","moves a card to a different list on the same board","functional","2026-08-31","passed","2026-08-31","Cards endpoint > PUT /cards/{id}","functional/cards.spec.ts","",""
"","922","returns the board that was created","functional","2026-08-31","passed","2026-08-31","Boards endpoint > GET /boards/{id}","functional/boards.spec.ts","",""
"","63","rejects an empty name","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","1125","updates the name and description","functional","2026-08-31","passed","2026-08-31","Boards endpoint > PUT /boards/{id}","functional/boards.spec.ts","",""
"","62","returns 404 when updating an unknown card","functional","2026-08-31","passed","2026-08-31","Cards endpoint > PUT /cards/{id}","functional/cards.spec.ts","",""
"","1658","updates the name and description","functional","2026-08-31","passed","2026-08-31","Cards endpoint > PUT /cards/{id}","functional/cards.spec.ts","",""
"","922","accepts non-Latin characters in the board name","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","896","rejects a request with no name","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","110","rejects a request with no name","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","961","creates the three default lists when defaultLists is true","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
