"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","144","rejects an unauthenticated request","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","1437","is not supported by the Trello API","functional","2026-08-31","passed","2026-08-31","Lists endpoint > DELETE /lists/{id}","functional/lists.spec.ts","",""
"","5775","PUT /cards/{id} stays within the 1500ms write budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","1031","creates a board with only the required name","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","2451","archives and then restores a list","functional","2026-08-31","passed","2026-08-31","Lists endpoint > PUT /lists/{id}/closed","functional/lists.spec.ts","",""
"","1721","marks a card as complete","functional","2026-08-31","passed","2026-08-31","Cards endpoint > PUT /cards/{id}","functional/cards.spec.ts","",""
"","1144","rejects an unauthenticated request","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","84","returns 404 when deleting an unknown card","functional","2026-08-31","passed","2026-08-31","Cards endpoint > DELETE /cards/{id}","functional/cards.spec.ts","",""
"","1339","renames a list","functional","2026-08-31","passed","2026-08-31","Lists endpoint > PUT /lists/{id}","functional/lists.spec.ts","",""
"","3937","GET /boards/{id}/lists stays within the 1000ms read budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","1607","creates a card with idList as the only required parameter","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","1271","places a list at the top when pos is top","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","120","rejects an unknown idBoard","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","100","returns the authenticated member for valid credentials","functional","2026-08-31","passed","2026-08-31","API connectivity and authentication","functional/connectivity.spec.ts","",""
"","1922","deletes a card and makes it unreachable","functional","2026-08-31","passed","2026-08-31","Cards endpoint > DELETE /cards/{id}","functional/cards.spec.ts","",""
"","84","rejects a malformed id","functional","2026-08-31","passed","2026-08-31","Boards endpoint > GET /boards/{id}","functional/boards.spec.ts","",""
"","1235","creates a list on the given board","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","1858","updates the name and description","functional","2026-08-31","passed","2026-08-31","Cards endpoint > PUT /cards/{id}","functional/cards.spec.ts","",""
